Name,Publisher/Promoter,Size,Format,Source and Context,Type of Speech,Regional Varieties,Sociolinguistic Variations,Multilingual Corpus,Data Collection,Recording Methods,Participant Selection,Transcription Standard,Annotation Levels,Tools and Software Used,Quality Control and Validation,Availability,URL,References,Other
ITALIC: An Italian Intent Classification Dataset,"Politecnico di Torino, Kore University of Enna, Bocconi University","16,521 audio samples","WAV audio format, 16-bit, 16 kHz",Crowdsourced audio samples recorded by 70 speakers from various Italian regions,Spontaneous and scripted utterances,Standard Italian with regional accents,"Speakers include diverse demographics, covering various age groups and genders","No, specific to Italian",Speakers recorded utterances covering 60 intents across 18 domains,Recorded using personal devices in diverse environments to capture variability,Native Italian speakers from different regions,Orthographic transcriptions aligned with audio recordings,Intent labels for each utterance,Not specified,Validated by at least two volunteers; recordings re-recorded in case of errors,Available for research purposes; access details provided on the Zenodo repository,https://zenodo.org/record/8040649,"Koudounas, A., La Quatra, M., Vaiani, L., Colomba, L., Attanasio, G., Pastor, E., Cagliero, L., & Baralis, E. (2023). 'ITALIC: An Italian Intent Classification Dataset.' arXiv preprint arXiv:2306.08502.",The dataset is suitable for research in intent classification and related fields.
DIA - Dialogic Italian,"The Language Archive - Max Planck Institute for Psycholinguistics / Alessandro Vietti, Daniela Mereu",Approximately 10 hours of recorded dialogues,Audio recordings in WAV format with corresponding orthographic transcriptions,"Spontaneous conversations between pairs of speakers who are well-acquainted, recorded in the presence of a researcher","Spontaneous, dialogic interactions","Standard Italian with potential regional accents, primarily from the Bolzano area","Speakers include a range of ages and backgrounds, reflecting the sociolinguistic diversity of the region","No, specific to Italian",Conversations were recorded in controlled environments to capture naturalistic speech patterns,High-quality audio equipment used to ensure clear recordings,"Native Italian speakers from the Bolzano area, selected to represent various sociolinguistic backgrounds",Orthographic transcriptions aligned with audio recordings,"Annotations include phonetic, syntactic, and prosodic information",ELAN software for transcription and annotation,Transcriptions and annotations were reviewed by multiple researchers to ensure accuracy,Available for research purposes; access details provided on the repository page,https://bia.unibz.it/esploro/outputs/dataset/DIA-Dialogic-ItAlian-corpus/991006608798401241,,The corpus is a valuable resource for research in phonetic variation and spontaneous speech patterns in Italian.
VIVALDI - Vivaio delle lingue e dei dialetti d'Italia,"Humboldt-Universität zu Berlin, Institut für Romanistik / Lorenzo Filipponio","Data collected from over 14 of Italy's 20 regions, encompassing numerous dialects and minority languages.",Audio recordings accompanied by orthographic transcriptions and phonetic annotations.,Field recordings capturing contemporary dialectal speech across various Italian regions.,Spontaneous and elicited speech samples reflecting regional linguistic diversity.,"Extensive coverage of Italian dialects and minority languages, including Lombard, Sicilian, Sardinian, and others.","Speakers from diverse age groups, genders, and social backgrounds to represent authentic linguistic usage.","Yes, includes multiple Italian dialects and minority languages.","Conducted through fieldwork by linguists and researchers, employing structured questionnaires and spontaneous conversation recordings.",Utilized high-quality audio equipment to ensure clarity and fidelity of recordings.,"Native speakers of various Italian dialects and minority languages, selected to provide a representative linguistic sample.",Orthographic transcriptions with phonetic annotations to capture pronunciation nuances.,"Includes phonetic, lexical, and syntactic annotations to facilitate comprehensive linguistic analysis.","Custom-developed software for data collection, transcription, and analysis.",Data undergoes rigorous validation by linguistic experts to ensure accuracy and reliability.,Accessible online for research and educational purposes through the VIVALDI website.,https://www2.hu-berlin.de/vivaldi/index.php,https://edoc.hu-berlin.de/server/api/core/bitstreams/e060ca14-e6d1-4fe5-bc65-f1dbdab7fe88/content,"VIVALDI serves as a valuable resource for the study of Italian dialectology, sociolinguistics, and language preservation efforts."
MSPKA - Multi-Speaking-Style-Articulatory Corpus,"Robotics, Brain and Cognitive Sciences Department, Istituto Italiano di Tecnologia, Genova, Italy / Claudia Canevari, Leonardo Badino, Luciano Fadiga","Session 1 includes over 500 Italian sentences, totaling approximately 2 hours of speech data.",Simultaneous recordings of audio and articulatory data using Electromagnetic Articulography (EMA).,Sentences selected from popular novels and web texts to provide balanced phonetic coverage and diverse speech registers.,"Read speech in citation condition, with plans to include hyperarticulated and hypoarticulated styles in future sessions.",Standard Italian.,"Data collected from three native Italian speakers: one male (cnz) and two females (lls, olm).","No, specific to Italian.",Simultaneous recording of audio and articulatory movements using the NDI Wave speech electromagnetic articulography system.,"Seven 5-degree-of-freedom sensor coils attached to upper and lower lips, upper and lower incisors, tongue tip, tongue blade, and tongue dorsum; head movement correction via a 6-DOF sensor on a pair of glasses worn by speakers.",Three native Italian speakers selected to provide a balanced phonetic dataset.,Phonetic transcription using the Italian letter-to-sound tool for the Festival Speech Synthesis System; phone boundaries estimated and manually checked.,Phonetic transcriptions with phone boundaries.,"NDI Wave speech electromagnetic articulography system, Festival Speech Synthesis System, HTK, PRAAT.",Manual checking of phone boundaries to ensure accuracy.,Freely available for research purposes at http://www.mspkacorpus.it.,http://www.mspkacorpus.it,"Canevari, C., Badino, L., & Fadiga, L. (2015). 'A new Italian dataset of parallel acoustic and articulatory data.' In *Proceedings of Interspeech 2015* (pp. 2152-2156). https://www.isca-archive.org/interspeech_2015/canevari15_interspeech.pdf","The corpus is designed to be large enough and phonetically balanced for use in speech applications, such as speech recognition systems."
M-AILABS Speech Dataset,M-AILABS,"Approximately 1,000 hours of audio data across multiple languages. The Italian segment comprises approximately 108 hours of audio.","Audio recordings in WAV format (mono, 16 kHz) accompanied by corresponding text files in prepared formats.","Derived from public domain texts published between 1884 and 1964, primarily sourced from LibriVox and Project Gutenberg.",Read speech from audiobooks.,Standard Italian.,"Speakers include volunteers from diverse backgrounds, reflecting a range of accents and speaking styles.","Yes, encompassing multiple languages including English, French, German, Italian, Polish, Russian, Spanish, and Ukrainian.",Collected from public domain audiobooks and texts.,"Recorded by volunteers using various recording setups, leading to variability in audio quality.",Volunteers from the LibriVox community.,Orthographic transcriptions aligned with audio recordings.,Includes metadata files with information about each audio clip.,Not specified.,"Basic validation to ensure alignment between audio and text; however, variability in recording quality exists.",Freely available for research and commercial use under public domain.,https://github.com/imdatceleste/m-ailabs-dataset,M-AILABS Speech Dataset on Papers with Code: https://paperswithcode.com/dataset/m-ailabs-speech-dataset,"The dataset is suitable for training speech recognition and synthesis models, offering a diverse range of speakers and languages."
ASR-ItaCSC: An Italian Conversational Speech Corpus,Magic Data,10.43 hours,"Audio recordings in WAV format (16 kHz, 16-bit, mono) with corresponding transcriptions in TXT format (UTF-8)",28 conversations between three pairs of speakers on specific topics,Spontaneous conversational speech,Standard Italian,Speakers include diverse demographics to ensure coverage,"No, specific to Italian","Speakers engaged in conversations on given topics, recorded in indoor environments using mobile devices",Recorded on mobile devices in indoor settings,Three pairs of native Italian speakers,Orthographic transcriptions aligned with audio recordings,Annotations may include lexical and syntactic features,Magic Data's proprietary tools for collection and validation,"Internal quality checks for consistency, clarity, and transcription accuracy",Available for download under a Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International License,https://magichub.com/datasets/italian-conversational-speech-corpus/,,Suitable for training and evaluating automatic speech recognition (ASR) systems and related applications
LABLITA Corpus,University of Florence,"Approximately 400,000 words",Audio recordings in WAV format with corresponding orthographic transcriptions,"Spontaneous speech collected from various communicative contexts, including face-to-face conversations, telephone calls, and public speeches","Spontaneous, natural speech","Primarily Tuscan Italian, with some recordings from other Italian regions","Speakers of different ages, genders, and social backgrounds","No, specific to Italian","Recordings made between 1965 and the present, encompassing various communicative situations",High-quality audio equipment used to capture clear recordings in natural settings,Native Italian speakers selected to represent a range of sociolinguistic backgrounds,"Orthographic transcriptions aligned with audio recordings, following the Language into Act Theory (L-AcT) framework","Annotations include prosodic segmentation, pragmatic functions, and information structure",ELAN software for transcription and annotation,Transcriptions and annotations reviewed by multiple researchers to ensure accuracy,Available for research purposes; access details provided on the LABLITA website,http://corpus.lablita.it/?locale=en,"Cresti, E., Gregori, L., Moneglia, M., Nicolás, C., & Panunzi, A. (2022). 'The LABLITA Speech Resources.' In *Atti del LIV Congresso della Società di Linguistica Italiana* (pp. 85-100). https://www.societadilinguisticaitaliana.net/wp-content/uploads/2022/11/005_CrestiEtAlii_Atti_LIV_Congresso_SLI.pdf","The corpus is a valuable resource for research in spoken Italian, prosody, pragmatics, and information structure"
Common Voice,Mozilla,"{Italian=Approximately 1,000 hours of recorded speech, Total=Over 18,000 hours of speech data across 100+ languages}",Audio recordings in WAV format with corresponding text transcriptions,Crowdsourced contributions from volunteers reading predefined sentences,Read speech covering a wide range of topics,Standard Italian with representation of various regional accents,"Contributors from diverse age groups, genders, and backgrounds","Yes, encompassing over 100 languages",Volunteers record themselves reading sentences; recordings are validated by other contributors,Recorded using personal devices in various environments,Open to anyone willing to contribute,Orthographic transcriptions provided by contributors,"Includes metadata such as age, gender, and accent of speakers",Web-based platform for recording and validation,Community-driven validation process to ensure accuracy,Freely available under a CC0 public domain dedication,https://commonvoice.mozilla.org/en/datasets,,Aims to create a diverse and open dataset for training speech recognition systems
Italian Spontaneous Dialogue Telephony Speech Dataset - Nexdata,Nexdata,500 hours of audio recordings,"Audio recordings in 8kHz, 8-bit, u-law PCM, mono channel; accompanied by transcriptions",Conversations between native Italian speakers on various familiar topics,Spontaneous conversational speech,Standard Italian with representation of regional accents,Balanced gender ratio among approximately 700 speakers,"No, specific to Italian",Speakers selected familiar topics from a provided list and engaged in natural conversations,Recorded via various mobile phones in quiet indoor environments,Approximately 700 native Italian speakers with a balanced gender ratio,"Manual transcriptions including text content, start and end times of each sentence, and speaker identification",Transcriptions include speaker identification and gender,Not specified,Word accuracy rate of transcriptions is not less than 98%,Available for commercial use under a commercial license,https://www.nexdata.ai/datasets/speechrecog/1232?source=Huggingface,,Suitable for training and evaluating speech recognition and voiceprint recognition systems
Apasci,ELRA,"Approximately 641 minutes of speech, totaling 58,924 word occurrences across 2,191 unique words.",Audio recordings in WAV format with 16-bit resolution.,Recorded in an insulated room using a Sennheiser MKH 416 T microphone to ensure high-quality audio suitable for speech processing research.,Phonetically rich sentences and isolated digits.,Standard Italian.,"The dataset includes 100 speakers, evenly split by gender (50 male and 50 female).","No, it is specific to Italian.",Conducted in a controlled environment to ensure high audio quality.,Utilized a Sennheiser MKH 416 T microphone in an insulated room.,Not specified.,Not specified.,Not specified.,Not specified.,Not specified.,"Available for research and development through ELRA, under payment.",https://catalogue.elra.info/en-us/repository/browse/ELRA-S0039/,,Designed to provide phonetic diversity for speech recognition development.
AUDIO Human Voice Pronunciations - Italian,ELRA,Not specified,Audio recordings,"Human voice recordings of single-word lemmas and multiword expressions, including IPA (International Phonetic Alphabet) transcriptions and alternative scripts.",Pronunciations of words and expressions,Standard Italian,Not specified,"Yes, part of a larger collection covering multiple languages",Recorded by native speakers,Not specified,Native speakers,IPA (International Phonetic Alphabet),Phonetic transcriptions,Not specified,Not specified,"Available for research and development through ELRA, under payment.",https://catalogue.elra.info/en-us/repository/browse/ELRA-S0490_10/,,"Part of the AUDIO project, which includes human voice recordings for multiple languages."
AURORA Project database - Subset of SpeechDat-Car - Italian database - Evaluation Package,ELRA,"2,200 connected digit utterances",Audio recordings in WAV format,"Collected as part of the European Union funded SpeechDat-Car project, focusing on in-car speech under various noise conditions",Connected digit sequences,Standard Italian,Not specified,"No, specific to Italian",Recorded inside a car under different noise and driving conditions,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Available for research and development through ELRA, under payment.",https://catalogue.elra.info/en-us/repository/browse/ELRA-AURORA-CD0003_05/,,Designed for evaluating noise-robust speech recognition systems in automotive environments
CLIPS_MT_MANUAL,ELRA,Not specified,Manual documentation,"Part of the CLIPS (Corpora e Lessici dell'Italiano Parlato e Scritto) project, focusing on Italian spoken and written language resources",Not applicable,Not applicable,Not applicable,"No, specific to Italian",Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Available for research and development through ELRA, under payment.",https://catalogue.elra.info/en-us/repository/browse/ELRA-S0369/,,Provides detailed documentation and guidelines for the CLIPS project
Collins Multilingual Database (MLD) – PhraseBank with Audio Files,ELRA,"2,000 phrases per language across 28 languages, totaling 56,000 phrases with corresponding audio files",Audio recordings in WAV format; textual data in XML format,Designed to cover real-life daily vocabulary across multiple languages,"Phrases organized under 12 topics and 67 subtopics, including talking to people, getting around, accommodation, shopping, leisure, communications, practicalities, health and beauty, eating and drinking",Standard language forms for each of the 28 languages,Not specified,"Yes, includes 28 languages: Arabic, Chinese, Croatian, Czech, Danish, Dutch, American English, British English, Farsi, Finnish, French, German, Greek, Hindi, Italian, Japanese, Korean, Norwegian, Polish, Portuguese (Iberian), Portuguese (Brazilian), Russian, Spanish (Iberian), Spanish (Latin American), Swedish, Thai, Turkish, Vietnamese",Phrases recorded by native speakers to ensure authenticity,Not specified,Native speakers for each language,"Romanization provided for Arabic, Farsi, and Hindi",Not specified,Not specified,Not specified,"Available for research and development through ELRA, under payment.",https://catalogue.elra.info/en-us/repository/browse/ELRA-S0383/,,"The dataset is designed to assist in language learning, translation, and linguistic research by providing authentic audio recordings of common phrases across multiple languages."
Collins Multilingual Database (MLD) – WordBank with Audio Files,ELRA,"10,000 words per language across 32 languages, totaling 320,000 words; includes an additional dataset of 10,000 headwords for 12 languages",Audio recordings in WAV format; textual data in XML format,Designed to cover real-life daily vocabulary across multiple languages,Isolated words and headwords,Standard language forms for each of the 32 languages,Not specified,"Yes, includes 32 languages: Arabic, Chinese, Croatian, Czech, Danish, Dutch, American English, British English, Finnish, French, German, Greek, Italian, Japanese, Korean, Norwegian, Polish, Portuguese (Iberian), Portuguese (Brazilian), Russian, Spanish (Iberian), Spanish (Latin American), Swedish, Thai, Turkish, Vietnamese, Hindi, Tamil, Bengali, Malayalam, Romanian, Ukrainian",Words recorded by native speakers to ensure authenticity,Not specified,Native speakers for each language,"Romanization provided for Chinese, Japanese, Korean, and Thai","XML annotations include part-of-speech, gender, irregular forms, and disambiguating information for homographs",Not specified,Not specified,"Available for research and development through ELRA, under payment.",https://catalogue.elra.info/en-us/repository/browse/ELRA-S0382/,,"The dataset is designed to assist in language learning, translation, and linguistic research by providing authentic audio recordings of common words across multiple languages."
C-ORAL-ROM - Integrated Reference Corpora for Spoken Romance Languages,ELRA,"Approximately 1,200,000 words across four Romance languages",Multimedia corpus with audio recordings and transcriptions,"Spontaneous speech recordings from various contexts, including formal and informal settings","Spontaneous conversations, dialogues, and monologues","Covers European variants of Italian, French, Spanish, and Portuguese","Includes speakers of different ages, genders, and social backgrounds","Yes, includes Italian, French, Spanish, and Portuguese",Recorded in natural settings to capture authentic spoken language,High-quality audio equipment used in diverse environments,Varied demographic backgrounds to ensure representativeness,Orthographic transcriptions aligned with audio files,Prosodic and syntactic annotations included,Provided with speech software for analysis,Standard linguistic measurements applied for validation in HLT,"Available for research and development through ELRA, under payment.",https://catalogue.elra.info/en-us/repository/browse/ELRA-S0172/,,Aims to provide a comprehensive resource for the study and validation of spoken Romance languages in human language technologies
European Parliament Interpretation Corpus (EPIC),ELRA,"Approximately 177,295 words across 357 speeches","Audio recordings, video clips, and orthographic transcriptions",European Parliament speeches and their corresponding simultaneous interpretations,Formal speeches and their simultaneous interpretations,"Standard Italian, English, and Spanish",Not specified,"Yes, includes Italian, English, and Spanish",Recorded during European Parliament sessions,High-quality audio and video recordings,Professional interpreters and parliament speakers,Orthographic transcriptions with annotations,"Part-of-speech tagging, lemmatization, and paralinguistic features",Not specified,Includes metadata and annotations for validation,"Available for research and development through ELRA, under payment.",https://catalogue.elra.info/en-us/repository/browse/ELRA-S0323/,,Developed by a multidisciplinary research group at the University of Bologna at Forlì
IBNC - An Italian Broadcast News Corpus,ELRA,Approximately 15 hours of transcribed broadcast news,Audio recordings with corresponding orthographic transcriptions,"Collected from Italian radio broadcasts, encompassing a variety of news topics",Spontaneous and read speech from news anchors and reporters,Standard Italian,Includes male and female speakers of varying ages,"No, specific to Italian",Recorded from national and regional Italian radio stations,High-quality audio recordings captured in studio and field environments,Professional journalists and news presenters,Orthographic transcriptions aligned with audio files,Includes metadata such as speaker information and broadcast details,Not specified,Transcriptions manually verified for accuracy,"Available for research and development through ELRA, under payment.",https://catalogue.elra.info/en-us/repository/browse/ELRA-S0093/,,Developed by ITC-IRST (Italy) as part of the European project LRsP&P (Language Resources Production & Packaging - LE4-8335)
ILE: Italian LExicon,ELRA,"588,000 entries",Lexical database with phonetic transcriptions,"Generated using a morphological analyzer handling over 100,000 morphemes, each transcribed and manually verified",Not applicable,Standard Italian,Not specified,"No, specific to Italian",Compiled through computational linguistic methods,Not applicable,Not applicable,SAMPA (Speech Assessment Methods Phonetic Alphabet) notation,Phonetic transcriptions,Morphological analyzer for morpheme processing,Manual verification of transcriptions,"Available for research and development through ELRA, under payment.",https://catalogue.elra.info/en-us/repository/browse/ELRA-S0059/,,Designed primarily for speech recognition purposes
Italian Kids Speech Recognition Corpus (Desktop),ELRA,"19,788 entries totaling approximately 4.9 hours of speech per channel","Audio recordings in 16-bit, 44.1 kHz WAV format",Recorded in a quiet office environment over two channels,Read speech,Standard Italian,31 speakers: 15 males and 16 females,"No, specific to Italian",Controlled environment recordings to ensure high audio quality,Utilized high-quality microphones in a quiet office setting,"Children speakers, balanced by gender",Not specified,Not specified,Not specified,Not specified,"Available for research and development through ELRA, under payment.",https://catalogue.elra.info/en-us/repository/browse/ELRA-S0228_98/,,Designed to support the development and evaluation of speech recognition systems for children's voices
Italian Speech Corpus 1 (Appen),ELRA,Approximately 44 hours of speech data,"16-bit, 22.05 kHz PCM uncompressed WAV files",Recorded in office and closed public environments with low to medium background noise,"Read speech, including command words and phonetically rich sentences",Standard Italian,"202 speakers: 112 males and 90 females, aged 18-60, with place of birth information included for each speaker.","No, specific to Italian","Conducted by Appen (Australia) using four microphone types: Plantronics Audio 10 (computer/desk mic), Shure SM58 (desk-mounted dynamic mic), Shure Beta 53 (headset mic), and Andrea DA-400 (array mic)",Four-channel recordings in controlled environments,Native Italian speakers across various age groups and regions,"Orthographic transcriptions in SAMPA, including canonical and alternative pronunciations, syllable, stress, and acoustic event markings","Segmented at the utterance level, annotated at the word level, and manually verified",Not specified,Manual verification of transcriptions and annotations,"Available for research and development through ELRA, under payment.",https://catalogue.elra.info/en-us/repository/browse/ELRA-S0147/,,"Includes a pronunciation lexicon with 7,300 headwords (plus variants); suitable for speech recognition and voice control applications"
